N̼mero,Columna Inicial,Columna Final,Repeticiones
77,1,251,251
73,252,445,194
88,446,599,154
89,598,781,184
81,781,946,166
46,947,1142,196
74,1143,1313,171
51,1314,1571,258
44,1491,1583,93
82,1584,1695,112
83,1696,1826,131
78,1827,1963,137
80,1964,2068,105
75,2069,2188,120
41,2189,2315,127
43,2316,2445,130
76,2446,2552,107
84,2553,2638,86
58,2639,2752,114
56,2753,2861,109
86,2862,2919,58
60,2920,3028,109
92,3029,3094,66
11,3095,3181,87
65,3182,3283,102
8,3284,3368,85
23,3369,3459,91
30,3460,3544,85
72,3545,3640,96
53,3641,3733,93
37,3734,3841,108
17,3828,3912,85
12,3994,4080,87
29,4081,4158,78
52,4159,4243,85
18,4244,4325,82
36,4326,4400,75
90,4401,4482,82
71,4481,4558,78
40,4558,4624,67
48,4625,4695,71
55,4696,4766,71
85,4767,4829,63
91,4829,4904,76
20,4897,4952,56
47,4953,5019,67
59,5020,5086,67
2,5087,5146,60
5,5147,5211,65
28,5212,5277,66
70,5278,5339,62
22,5340,5398,59
54,5399,5459,61
87,5460,5522,63
66,5523,5583,61
32,5584,5628,45
4,5629,5684,56
42,5685,5743,59
13,5744,5792,49
38,5793,5848,56
63,5849,5902,54
68,5903,5956,54
69,5957,6010,54
93,6011,6056,46
14,6049,6096,48
64,6097,6148,52
19,6149,6197,49
49,6198,6246,49
61,6247,6296,50
50,6297,6388,92
15,6346,6394,49
9,6395,6440,46
33,6441,6486,46
26,6487,6527,41
25,6571,6611,41
3,6612,6651,40
16,6652,6692,41
79,6693,6733,41
1,6734,6773,40
21,6774,6813,40
24,6814,6855,42
27,6850,6889,40
31,6890,6941,52
34,6929,6968,40
35,6969,7011,43
39,7007,7047,41
67,7046,7087,42
10,7086,7130,45
45,7123,7162,40
6,7162,7206,45
7,7200,7239,40
57,7234,7300,67
62,7268,7322,55
94,7304,7465,162
95,7466,7593,128
96,7594,7684,91
97,7685,7750,66
98,7751,7832,82
99,7833,7895,63
100,7893,7941,49
101,7942,7999,58
102,8000,8047,48
