N̼mero,Columna inicio,Columna fin,Veces repetido
1,6734,6773,40
2,5087,5146,60
3,6612,6651,40
4,5629,5684,56
5,5147,5211,65
6,7162,8111,45
7,7200,8104,40
8,3284,3368,85
9,6395,6440,46
10,7086,8097,45
11,3095,3181,87
12,3994,4080,87
13,5744,5792,49
14,6049,6096,48
15,6346,6394,49
16,6652,6692,41
17,3828,3912,85
18,4244,4325,82
19,6149,6197,49
20,4897,4952,56
21,6774,6813,40
22,5340,5398,59
23,3369,3459,91
24,6814,8053,42
25,6571,6611,41
26,6487,6527,41
27,6850,6889,40
28,5212,5277,66
29,4081,4158,78
30,3460,3544,85
31,6890,8077,52
32,5584,5628,45
33,6441,6486,46
34,6929,6968,40
35,6969,8088,43
36,4326,4400,75
37,3734,7298,108
38,5793,5848,56
39,7007,8081,41
40,4558,4624,67
41,2189,2315,127
42,5685,5743,59
43,2316,2445,130
44,1491,1583,93
45,7123,8098,40
46,947,1142,196
47,4953,5019,67
48,4625,4695,71
49,6198,6246,49
50,6297,6570,92
51,1314,3993,258
52,4159,4243,85
53,3641,3733,93
54,5399,5459,61
55,4696,4766,71
56,2753,2861,109
57,7234,8150,67
58,2639,2752,114
59,5020,5086,67
60,2920,3028,109
61,6247,6296,50
62,7268,8189,55
63,5849,5902,54
64,6097,6148,52
65,3182,3283,102
66,5523,5583,61
67,7046,8079,42
68,5903,5956,54
69,5957,6010,54
70,5278,5339,62
71,4481,8089,78
72,3545,3640,96
73,252,445,194
74,1143,1313,171
75,2069,2188,120
76,2446,2552,107
77,1,251,251
78,1827,1963,137
79,6693,6733,41
80,1964,2068,105
81,781,946,166
82,1584,1695,112
83,1696,1826,131
84,2553,2638,86
85,4767,7301,63
86,2862,2919,58
87,5460,5522,63
88,446,8083,154
89,598,7284,184
90,4401,7300,82
91,4829,8061,76
92,3029,3094,66
93,6011,8117,46
94,7304,7465,162
95,7466,7593,128
96,7594,7684,91
97,7685,7750,66
98,7751,7832,82
99,7833,8064,63
100,7893,7941,49
101,7942,7999,58
102,8000,8047,48
